bbref_name,bbref_id,nba_name,nba_id
Ayo Dosunmu,dosunay01,Ayo Dosunmu,1630245
Devon Dotson,dotsode01,Devon Dotson,1629653
PJ Dozier,doziepj01,PJ Dozier,1628408
Andre Drummond,drumman01,Andre Drummond,203083
Chris Duarte,duartch01,Chris Duarte,1630537
David Duke Jr.,dukeda01,David Duke Jr.,1630561
Kris Dunn,dunnkr01,Kris Dunn,1627739
Kevin Durant,duranke01,Kevin Durant,201142
Jalen Duren,durenja01,Jalen Duren,1631105
Tari Eason,easonta01,Tari Eason,1631106
Anthony Edwards,edwaran01,Anthony Edwards,1630162
Kessler Edwards,edwarke02,Kessler Edwards,1630556
Keon Ellis,elliske01,Keon Ellis,1631165
Joel Embiid,embiijo01,Joel Embiid,203954
Drew Eubanks,eubandr01,Drew Eubanks,1629234
Bruno Fernando,fernabr01,Bruno Fernando,1628981
Dorian Finney-Smith,finnedo01,Dorian Finney-Smith,1627827
Malachi Flynn,flynnma01,Malachi Flynn,1630201
Simone Fontecchio,fontesi01,Simone Fontecchio,1631323
Bryn Forbes,forbebr01,Bryn Forbes,1627854
Trent Forrest,forretr01,Trent Forrest,1630235
Michael Foster Jr.,fostemi02,Michael Foster Jr.,1630701
Evan Fournier,fournev01,Evan Fournier,203095
De'Aaron Fox,foxde01,De'Aaron Fox,1628368
Markelle Fultz,fultzma01,Markelle Fultz,1628365
Wenyen Gabriel,gabriwe01,Wenyen Gabriel,1629117
Daniel Gafford,gaffoda01,Daniel Gafford,1629655
Darius Garland,garlada01,Darius Garland,1629636
Usman Garuba,garubus01,Usman Garuba,1630586
Luka Garza,garzalu01,Luka Garza,1630568
Paul George,georgpa01,Paul George,202331
Taj Gibson,gibsota01,Taj Gibson,201959
Josh Giddey,giddejo01,Josh Giddey,1630581
Shai Gilgeous-Alexander,gilgesh01,Shai Gilgeous-Alexander,1628983
Anthony Gill,gillan01,Anthony Gill,1630264
Jacob Gilyard,gilyaja01,Jacob Gilyard,1631367
Rudy Gobert,goberru01,Rudy Gobert,203497
Jordan Goodwin,goodwjo01,Jordan Goodwin,1630692
Aaron Gordon,gordoaa01,Aaron Gordon,203932
Eric Gordon,gordoer01,Eric Gordon,201569
Devonte' Graham,grahade01,Devonte' Graham,1628984
Jerami Grant,grantje01,Jerami Grant,203924
RaiQuan Gray,grayra01,RaiQuan Gray,1630564
Danny Green,greenda02,Danny Green,201980
Draymond Green,greendr01,Draymond Green,203110
JaMychal Green,greenja01,JaMychal Green,203210
Javonte Green,greenja02,Javonte Green,1629750
Jalen Green,greenja05,Jalen Green,1630224
Jeff Green,greenje02,Jeff Green,201145
Josh Green,greenjo02,Josh Green,1630182
AJ Griffin,griffaj01,AJ Griffin,1631100
Blake Griffin,griffbl01,Blake Griffin,201933
Quentin Grimes,grimequ01,Quentin Grimes,1629656
