bbref_name,bbref_id,nba_name,nba_id
Bojan Bogdanović,bogdabo02,Bojan Bogdanovic,202711
John Butler,butlejo01,John Butler Jr.,1631219
Vlatko Čančar,cancavl01,Vlatko Cancar,1628427
Moussa Diabaté,diabamo01,Moussa Diabate,1631217
Luka Dončić,doncilu01,Luka Doncic,1629029
Jeff Dowtin,dowtije01,Jeff Dowtin Jr.,1630288
Goran Dragić,dragigo01,Goran Dragic,201609
Rudy Gay,gayru01,Rudy Gay,200752
A.J. Green,greenaj01,AJ Green,1631260
Juancho Hernangómez,hernaju01,Juancho Hernangomez,1627823
Willy Hernangómez,hernawi01,Willy Hernangomez,1626195
Nikola Jokić,jokicni01,Nikola Jokic,203999
Nikola Jović,jovicni01,Nikola Jovic,1631107
Kevin Knox,knoxke01,Kevin Knox II,1628995
Théo Maledon,maledth01,Theo Maledon,1630177
Boban Marjanović,marjabo01,Boban Marjanovic,1626246
Lauri Markkanen,markkla01,Lauri Markkanen,1628374
Marcus Morris,morrima03,Marcus Morris Sr.,202694
Jusuf Nurkić,nurkiju01,Jusuf Nurkic,203994
Kristaps Porziņģis,porzikr01,Kristaps Porzingis,204001
Luka Šamanić,samanlu01,Luka Samanic,1629677
Dario Šarić,saricda01,Dario Saric,203967
Dennis Schröder,schrode01,Dennis Schroder,203471
Alperen Şengün,sengual01,Alperen Sengun,1630578
Xavier Tillman Sr.,tillmxa01,Xavier Tillman,1630214
Jonas Valančiūnas,valanjo01,Jonas Valanciunas,202685
Nikola Vučević,vucevni01,Nikola Vucevic,202696
John Wall,walljo01,John Wall,202322
Robert Williams,williro04,Robert Williams III,1629057
