TEAM_ID_1,TEAM_1_PLAYERS,TEAM_ID_2,TEAM_2_PLAYERS,PERIOD
1610612761,"[203471, 1627751, 1627783, 1628384, 1630567]",1610612755,"[202694, 202699, 203954, 1626162, 1630178]",1
1610612761,"[203490, 1629018, 1630173, 1630201, 1630567]",1610612755,"[202699, 203496, 1627863, 1630178, 1630194]",2
1610612761,"[203471, 1627751, 1627783, 1628384, 1630567]",1610612755,"[202694, 202699, 203954, 1626162, 1630178]",3
1610612761,"[203471, 203490, 1629018, 1630173, 1630567]",1610612755,"[202699, 203496, 1626162, 1630178, 1630194]",4
