GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0022300373,468,4,0,3,11:52 PM,0:19,,,Pritchard REBOUND (Off:0 Def:3),,,5,1630202,Payton Pritchard,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1
0022300373,469,2,1,3,11:52 PM,0:02,,,MISS White 26' 3PT Jump Shot,,,5,1628401,Derrick White,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1
0022300373,470,4,0,3,11:52 PM,0:02,McGee REBOUND (Off:0 Def:1),,,,,4,201580,JaVale McGee,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,471,13,0,3,11:52 PM,0:00,,End of 3rd Period (11:52 PM EST),,113 - 90,-23,0,0,,,,,,0,0,,,,,,0,0,,,,,,1
0022300373,480,12,0,4,11:55 PM,12:00,,Start of 4th Period (11:55 PM EST),,113 - 90,-23,0,0,,,,,,0,0,,,,,,0,0,,,,,,0
0022300373,481,1,79,4,11:55 PM,11:46,,,Holiday 26' 3PT Pullup Jump Shot (17 PTS),116 - 90,-26,5,201950,Jrue Holiday,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1
0022300373,482,6,2,4,11:55 PM,11:34,,,Queta S.FOUL (P2.T1) (G.Petraitis),,,5,1629674,Neemias Queta,1610612738.0,Boston,Celtics,BOS,4,1628370,Malik Monk,1610612758.0,Sacramento,Kings,SAC,1,0,,,,,,1
0022300373,484,3,11,4,11:56 PM,11:34,Monk Free Throw 1 of 2 (5 PTS),,,116 - 91,-25,4,1628370,Malik Monk,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,485,3,12,4,11:56 PM,11:34,Monk Free Throw 2 of 2 (6 PTS),,,116 - 92,-24,4,1628370,Malik Monk,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,514,18,7,4,11:56 PM,11:34,,Instant Replay4th Period (11:56 PM EST),,116 - 92,-24,0,481,,,,,,0,0,,,,,,1,0,,,,,,0
0022300373,486,2,79,4,11:57 PM,11:15,,,MISS Holiday 26' 3PT Pullup Jump Shot,,,5,201950,Jrue Holiday,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1
0022300373,487,4,0,4,11:57 PM,11:11,Monk REBOUND (Off:0 Def:2),,,,,4,1628370,Malik Monk,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,488,1,1,4,11:57 PM,11:04,Ellis 25' 3PT Jump Shot (9 PTS) (Lyles 2 AST),,,116 - 95,-21,4,1631165,Keon Ellis,1610612758.0,Sacramento,Kings,SAC,4,1626168,Trey Lyles,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,1
0022300373,490,1,1,4,11:57 PM,10:45,,,Hauser 25' 3PT Jump Shot (6 PTS) (Holiday 8 AST),119 - 95,-24,5,1630573,Sam Hauser,1610612738.0,Boston,Celtics,BOS,5,201950,Jrue Holiday,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,1
0022300373,492,2,1,4,11:57 PM,10:27,MISS Lyles 25' 3PT Jump Shot,,,,,4,1626168,Trey Lyles,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,493,4,0,4,11:57 PM,10:24,Barnes REBOUND (Off:1 Def:3),,,,,4,203084,Harrison Barnes,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,494,1,1,4,11:58 PM,10:15,Barnes 26' 3PT Jump Shot (9 PTS) (McGee 1 AST),,,119 - 98,-21,4,203084,Harrison Barnes,1610612758.0,Sacramento,Kings,SAC,4,201580,JaVale McGee,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,1
0022300373,496,2,5,4,11:58 PM,9:57,McGee BLOCK (2 BLK),,MISS Holiday 4' Layup,,,5,201950,Jrue Holiday,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,4,201580,JaVale McGee,1610612758.0,Sacramento,Kings,SAC,1
0022300373,498,4,0,4,11:58 PM,9:52,,,Queta REBOUND (Off:3 Def:1),,,5,1629674,Neemias Queta,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1
0022300373,499,1,1,4,11:58 PM,9:50,,,Pritchard 26' 3PT Jump Shot (15 PTS) (Hauser 1 AST),122 - 98,-24,5,1630202,Payton Pritchard,1610612738.0,Boston,Celtics,BOS,5,1630573,Sam Hauser,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,1
0022300373,501,2,101,4,11:58 PM,9:35,MISS McGee 8' Driving Floating Jump Shot,,,,,4,201580,JaVale McGee,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,502,4,0,4,11:58 PM,9:35,Lyles REBOUND (Off:1 Def:4),,,,,4,1626168,Trey Lyles,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,503,1,107,4,11:58 PM,9:30,Lyles Tip Dunk Shot (11 PTS),,,122 - 100,-22,4,1626168,Trey Lyles,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,504,2,3,4,11:59 PM,9:16,,,MISS Queta 5' Hook Shot,,,5,1629674,Neemias Queta,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1
0022300373,505,4,0,4,11:59 PM,9:12,McGee REBOUND (Off:0 Def:2),,,,,4,201580,JaVale McGee,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,506,5,1,4,11:59 PM,9:09,McGee Bad Pass Turnover (P1.T6),,Queta STEAL (1 STL),,,4,201580,JaVale McGee,1610612758.0,Sacramento,Kings,SAC,5,1629674,Neemias Queta,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,1
0022300373,508,1,2,4,11:59 PM,9:05,,,Pritchard 3PT Running Jump Shot (18 PTS) (Holiday 9 AST),125 - 100,-25,5,1630202,Payton Pritchard,1610612738.0,Boston,Celtics,BOS,5,201950,Jrue Holiday,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,1
0022300373,510,1,7,4,11:59 PM,8:51,McGee Dunk (4 PTS) (Monk 4 AST),,,125 - 102,-23,4,201580,JaVale McGee,1610612758.0,Sacramento,Kings,SAC,4,1628370,Malik Monk,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,1
0022300373,512,1,6,4,12:00 AM,8:29,,,Holiday 4' Driving Layup (19 PTS),127 - 102,-25,5,201950,Jrue Holiday,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1
0022300373,513,9,1,4,12:00 AM,8:26,KINGS Timeout: Regular (Full 7 Short 0),,,,,2,1610612758,,,,,,0,0,,,,,,0,0,,,,,,0
0022300373,515,8,0,4,12:02 AM,8:26,SUB: Fox FOR Ellis,,,,,4,1631165,Keon Ellis,1610612758.0,Sacramento,Kings,SAC,4,1628368,De'Aaron Fox,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0
0022300373,517,6,2,4,12:03 AM,8:17,,,Hauser S.FOUL (P2.T2) (S.Wright),,,5,1630573,Sam Hauser,1610612738.0,Boston,Celtics,BOS,4,1628368,De'Aaron Fox,1610612758.0,Sacramento,Kings,SAC,1,0,,,,,,1
0022300373,519,3,11,4,12:03 AM,8:17,Fox Free Throw 1 of 2 (28 PTS),,,127 - 103,-24,4,1628368,De'Aaron Fox,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,520,3,12,4,12:03 AM,8:17,Fox Free Throw 2 of 2 (29 PTS),,,127 - 104,-23,4,1628368,De'Aaron Fox,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,521,6,2,4,12:04 AM,7:56,Fox S.FOUL (P4.T1) (S.Wright),,,,,4,1628368,De'Aaron Fox,1610612758.0,Sacramento,Kings,SAC,5,201950,Jrue Holiday,1610612738.0,Boston,Celtics,BOS,1,0,,,,,,1
0022300373,523,3,11,4,12:04 AM,7:56,,,Holiday Free Throw 1 of 2 (20 PTS),128 - 104,-24,5,201950,Jrue Holiday,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1
0022300373,524,3,12,4,12:04 AM,7:56,,,Holiday Free Throw 2 of 2 (21 PTS),129 - 104,-25,5,201950,Jrue Holiday,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1
0022300373,525,5,1,4,12:05 AM,7:49,Fox Bad Pass Turnover (P3.T7),,Holiday STEAL (2 STL),,,4,1628368,De'Aaron Fox,1610612758.0,Sacramento,Kings,SAC,5,201950,Jrue Holiday,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,1
0022300373,527,1,50,4,12:05 AM,7:45,,,Mykhailiuk 1' Running Dunk (2 PTS) (Holiday 10 AST),131 - 104,-27,5,1629004,Svi Mykhailiuk,1610612738.0,Boston,Celtics,BOS,5,201950,Jrue Holiday,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,1
0022300373,529,6,2,4,12:05 AM,7:30,,,Mykhailiuk S.FOUL (P1.T3) (G.Petraitis),,,5,1629004,Svi Mykhailiuk,1610612738.0,Boston,Celtics,BOS,4,203084,Harrison Barnes,1610612758.0,Sacramento,Kings,SAC,1,0,,,,,,1
0022300373,531,3,11,4,12:05 AM,7:30,Barnes Free Throw 1 of 2 (10 PTS),,,131 - 105,-26,4,203084,Harrison Barnes,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,532,3,12,4,12:05 AM,7:30,MISS Barnes Free Throw 2 of 2,,,,,4,203084,Harrison Barnes,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,533,4,0,4,12:06 AM,7:28,,,Hauser REBOUND (Off:0 Def:5),,,5,1630573,Sam Hauser,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1
0022300373,534,6,2,4,12:06 AM,7:16,Monk S.FOUL (P1.T2) (S.Wright),,,,,4,1628370,Malik Monk,1610612758.0,Sacramento,Kings,SAC,5,1630202,Payton Pritchard,1610612738.0,Boston,Celtics,BOS,1,0,,,,,,1
0022300373,536,3,13,4,12:07 AM,7:16,,,MISS Pritchard Free Throw 1 of 3,,,5,1630202,Payton Pritchard,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1
0022300373,537,4,1,4,12:07 AM,7:16,,,Celtics Rebound,,,3,1610612738,,,,,,0,0,,,,,,0,0,,,,,,0
0022300373,538,3,14,4,12:07 AM,7:16,,,Pritchard Free Throw 2 of 3 (19 PTS),132 - 105,-27,5,1630202,Payton Pritchard,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1
0022300373,539,8,0,4,12:07 AM,7:16,SUB: Vezenkov FOR Barnes,,,,,4,203084,Harrison Barnes,1610612758.0,Sacramento,Kings,SAC,4,1628426,Sasha Vezenkov,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0
0022300373,540,8,0,4,12:07 AM,7:16,SUB: Ellis FOR Fox,,,,,4,1628368,De'Aaron Fox,1610612758.0,Sacramento,Kings,SAC,4,1631165,Keon Ellis,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0
0022300373,543,3,15,4,12:07 AM,7:16,,,Pritchard Free Throw 3 of 3 (20 PTS),133 - 105,-28,5,1630202,Payton Pritchard,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1
0022300373,544,1,1,4,12:08 AM,6:51,Ellis 3PT Jump Shot (12 PTS) (Lyles 3 AST),,,133 - 108,-25,4,1631165,Keon Ellis,1610612758.0,Sacramento,Kings,SAC,4,1626168,Trey Lyles,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,1
0022300373,546,1,79,4,12:08 AM,6:29,,,Hauser 14' Pullup Jump Shot (8 PTS) (Pritchard 2 AST),135 - 108,-27,5,1630573,Sam Hauser,1610612738.0,Boston,Celtics,BOS,5,1630202,Payton Pritchard,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,1
0022300373,547,6,2,4,12:08 AM,6:11,,,Queta S.FOUL (P3.T4) (G.Petraitis),,,5,1629674,Neemias Queta,1610612738.0,Boston,Celtics,BOS,4,1628370,Malik Monk,1610612758.0,Sacramento,Kings,SAC,1,0,,,,,,1
0022300373,549,3,11,4,12:09 AM,6:11,Monk Free Throw 1 of 2 (7 PTS),,,135 - 109,-26,4,1628370,Malik Monk,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,551,8,0,4,12:09 AM,6:11,SUB: Edwards FOR Lyles,,,,,4,1626168,Trey Lyles,1610612758.0,Sacramento,Kings,SAC,4,1630556,Kessler Edwards,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0
0022300373,553,3,12,4,12:09 AM,6:11,Monk Free Throw 2 of 2 (8 PTS),,,135 - 110,-25,4,1628370,Malik Monk,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,554,2,1,4,12:09 AM,5:59,,,MISS Hauser 26' 3PT Jump Shot,,,5,1630573,Sam Hauser,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1
0022300373,555,4,0,4,12:09 AM,5:55,Edwards REBOUND (Off:0 Def:1),,,,,4,1630556,Kessler Edwards,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
0022300373,556,1,98,4,12:09 AM,5:48,Edwards 2' Cutting Layup Shot (2 PTS) (Monk 5 AST),,,135 - 112,-23,4,1630556,Kessler Edwards,1610612758.0,Sacramento,Kings,SAC,4,1628370,Malik Monk,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,1
0022300373,558,2,1,4,12:10 AM,5:22,,,MISS Mykhailiuk 26' 3PT Jump Shot,,,5,1629004,Svi Mykhailiuk,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,1
0022300373,559,4,0,4,12:10 AM,5:18,McGee REBOUND (Off:0 Def:3),,,,,4,201580,JaVale McGee,1610612758.0,Sacramento,Kings,SAC,0,0,,,,,,0,0,,,,,,1
